Video_ID,Author,Comment,Comment_No_Stopword,Sentiment,Sentiment_Words
6PPRQUyxsN8,Josh Scarlet&Voit,Kurt angle beats long Paul in 2024?,Kurt angle beats long Paul 2024?,0.0,Neutral
6PPRQUyxsN8,Josh Scarlet&Voit,Cena to tna or Aew Internet leak was real 😮,Cena tna Aew Internet leak real 😮,-0.34,Negative
6PPRQUyxsN8,mgunter,Including herself; Sasha Banks has injured more people than Nia Jax and Charlotte.,Including herself; Sasha Banks injured people Nia Jax Charlotte.,-0.4019,Negative
6PPRQUyxsN8,Alejandro Ramirez,"Osprey can go wherever he desires. As long as he doesn't get buried like Ricochete in WWE I can see him go there. But, if there is higher ceiling in AEW I can see him go there. There is positive and negative for both.","Osprey go wherever desires. long get buried like Ricochete WWE see go there. But, higher ceiling AEW see go there. positive negative both.",0.1531,Positive
6PPRQUyxsN8,The Batman,3:57 You’re not insane Luke Owen but ultimately it’s up to her as to whether or not she wants come back,3:57 You’re insane Luke Owen ultimately it’s whether wants come back,-0.4019,Negative
6PPRQUyxsN8,A1m0st Perfect,Luke i see your bash in Berlin main event of ilja Gunther an raise you Dunn Dragunov Bate Gunther 4 way,Luke see bash Berlin main event ilja Gunther raise Dunn Dragunov Bate Gunther 4 way,0.0,Neutral
6PPRQUyxsN8,ryan brandt,Osprey would be ruined by wwe. Dont throw you career away kid. There is only like 4 or 5 wrestlers in wwe that could actually hang with osprey. He would be sub mid at best in wwe,Osprey would ruined wwe. Dont throw career away kid. like 4 5 wrestlers wwe could actually hang osprey. would sub mid best wwe,0.5574,Positive
6PPRQUyxsN8,Filibustero,I don't like Mercedes Mone back in WWE. I would rather see upcoming NXT women to make the Main roster shuffle better.,like Mercedes Mone back WWE. would rather see upcoming NXT women make Main roster shuffle better.,0.6597,Positive
6PPRQUyxsN8,Sapphire-_-blue😑,"If you guys wanna fly me over from Australia, I love to come!!!","guys wanna fly Australia, love come!!!",0.7249,Positive
wx53Su236RQ,WrestleTalk,"What did you think of WWE Crown Jewel 2023? Let me know in the comments...
Get your Survivor Series watchalong tickets here 👉https://www.eventbrite.com/e/wrestletalks-wwe-survivor-series-2023-party-tickets-750689170517?aff=oddtdtcreator
Fantasy Booking... Logan Paul: WWE CHAMPION! 👉 https://www.youtube.com/watch?v=4s0dXhmEcjE",think WWE Crown Jewel 2023? Let know comments... Get Survivor Series watchalong tickets 👉https://www.eventbrite.com/e/wrestletalks-wwe-survivor-series-2023-party-tickets-750689170517?aff=oddtdtcreator Fantasy Booking... Logan Paul: WWE CHAMPION! 👉 https://www.youtube.com/watch?v=4s0dXhmEcjE,0.8876,Positive
wx53Su236RQ,Hard 2 Tech,Honestly...Crown Jewel was not upto the mark at all.... below average ppv.,Honestly...Crown Jewel upto mark all.... average ppv.,0.3612,Positive
wx53Su236RQ,Dangelo Barksdale,Yeah feel the same way. It all seems very convenient with Esco,Yeah feel way. seems convenient Esco,0.296,Positive
wx53Su236RQ,NoelleMystique ,"Glad I'm not the only one that can't stand this current iteration of Seth Rollins, to the point where every match of this title run has been a disappointment because he won't lose.  
Not a fan of this ""character.""  If I wanted a sing along, I'd watch Cocomelon with my nephew.","Glad I'm one can't stand current iteration Seth Rollins, point every match title run disappointment lose. fan ""character."" wanted sing along, I'd watch Cocomelon nephew.",-0.1779,Negative
wx53Su236RQ,wlewis19760,Screw that scammer Logan Paul!,Screw scammer Logan Paul!,-0.1759,Negative
wx53Su236RQ,MoneyBadger OP,John cena deserved a way better ending than solo. Derp. wtf wwe.,John cena deserved way better ending solo. Derp. wtf wwe.,-0.2263,Negative
wx53Su236RQ,demarco adkins,I do feel bad for Bayley it seems she is not finding success in Damage CTRL! and it’s sad that LA Knight clearly had the main event match won but lost anyway.,feel bad Bayley seems finding success Damage CTRL! it’s sad LA Knight clearly main event match lost anyway.,-0.7177,Negative
wx53Su236RQ,DaddyFutbol,It was a Saturday Night RAW,Saturday Night RAW,0.0,Neutral
wx53Su236RQ,first last,"I didn't think roman was going to drop the belt at crown jewel, but I feel like it derails L A Knight.  I PRAY they aren't trying to have the rock beat roman at wrestlemania for the belt and put the belt on someone else that doesn't wrestle. Roman is not Bruno....not defending it every 30 days, only keeping it because of interference,  gets old fast...","think roman going drop belt crown jewel, feel like derails L Knight. PRAY trying rock beat roman wrestlemania belt put belt someone else wrestle. Roman Bruno....not defending every 30 days, keeping interference, gets old fast...",0.5622,Positive
wx53Su236RQ,Suraj Iyer,"At this point, Roman's persistent hoarding is getting stale faster than anyone could have imagined about....

Before someone says ""hE iS A HeeL anD sUpPoseD to pLaY fOUl"" 

Honestly, Roman has had the most selfish reign in the past decade or so... No-one looks better coming out of Roman's mstch except for himself","point, Roman's persistent hoarding getting stale faster anyone could imagined about.... someone says ""hE HeeL sUpPoseD pLaY fOUl"" Honestly, Roman selfish reign past decade so... No-one looks better coming Roman's mstch except",0.6369,Positive
wx53Su236RQ,psell,"ok that sportswashing laundry joke made me smile, nice work","ok sportswashing laundry joke made smile, nice work",0.8271,Positive
wx53Su236RQ,Jojap,"This will get lots of hate but having seen HBK’s entire singles career, Logan Paul is the closest thing we’ve ever seen to him. The look, cocky attitude, charisma, embraces his role, and must see matches.  If he does stick to wrestling he could be one of the best ever.","get lots hate seen HBK’s entire singles career, Logan Paul closest thing we’ve ever seen him. look, cocky attitude, charisma, embraces role, must see matches. stick wrestling could one best ever.",0.0,Neutral
wx53Su236RQ,mlfgc,SHOCK?! no. why would cena come back to bury a raster that's done everything right? N LA Knight definitely wasn't winning the chip at... crown jewel?! no. wrestle mania. these are all obvious turnouts besides zane. (tho these guys have been reporting on the rumors for months now lol,SHOCK?! no. would cena come back bury raster that's done everything right? N LA Knight definitely winning chip at... crown jewel?! no. wrestle mania. obvious turnouts besides zane. (tho guys reporting rumors months lol,0.7666,Positive
wx53Su236RQ,Daniel E.H,John Cena's loss was definitely not shocking at all. Also way to downplay how Sami won. He didn't win with a heluva kick he won with the goddamn blue thunderbomb. He hasn't won with that moving so goddamn long a lot of people popped for it and you're acting like it didn't happen.,John Cena's loss definitely shocking all. Also way downplay Sami won. win heluva kick goddamn blue thunderbomb. moving goddamn long lot people popped acting like happen.,0.3612,Positive
wx53Su236RQ,Robert Tassi,"Oli. You got the name of the PLE. It was WWE's ""Outside Interference"".","Oli. got name PLE. WWE's ""Outside Interference"".",0.0,Neutral
wx53Su236RQ,GH0ST,Paul didn't save Mysterio. He actually saved the botch he almost create. He was too far away in his position. Luckily he was able to recover.,Paul save Mysterio. actually saved botch almost create. far away position. Luckily able recover.,0.8781,Positive
wx53Su236RQ,X-men no 1 fan,Oli is the Seth Rollins of wrestle talk he is annoying as f**k when he does the news. Normal oli is fine.,Oli Seth Rollins wrestle talk annoying f**k news. Normal oli fine.,-0.2263,Negative
wx53Su236RQ,zachariah Ingram,Sami beat JD with a BLUE THUNDER BOMB! The only time it's ever happened on the main card I'm fairly sure.,Sami beat JD BLUE THUNDER BOMB! time ever happened main card I'm fairly sure.,-0.4451,Negative
wx53Su236RQ,whoyouare13,Did Ole say whore games?,Ole say whore games?,-0.6486,Negative
wx53Su236RQ,John L. Odle,"Wow the whole John Cena segment was very boring. He lost every match ,promos were half assed, they might of just had PeeWee Herman in this matches.","Wow whole John Cena segment boring. lost every match ,promos half assed, might PeeWee Herman matches.",0.0516,Positive
wx53Su236RQ,CapitalP177,"At this point, I find it highly disrespectful calling Roman's reign the greatest of all time","point, find highly disrespectful calling Roman's reign greatest time",0.6369,Positive
2oFtu2u-SlI,demarco adkins,"I am really looking forward to seeing what WWE has in store for Kairi Sane, it was also great seeing Skye Blue pick up a victory on Rampage.","really looking forward seeing WWE store Kairi Sane, also great seeing Skye Blue pick victory Rampage.",0.6249,Positive
2oFtu2u-SlI,wickeduploads,explain to me how to make beans on toast,explain make beans toast,0.0,Neutral
2oFtu2u-SlI,rob91Harvey,Damn I miss Sat,Damn miss Sat,-0.5106,Negative
2oFtu2u-SlI,Antonio Gutierrez,I just don't like pretty deadly they put me to sleep,like pretty deadly put sleep,0.6908,Positive
2oFtu2u-SlI,Uncle Fred,"Well, at least Noel Fielding retained his women's championship....","Well, least Noel Fielding retained women's championship....",0.296,Positive
2oFtu2u-SlI,GAMEBOII SAV,"People need to stop guessin what returning stars are gonna do, whilst speaking matter off factly, makes em look very stupid","People need stop guessin returning stars gonna do, whilst speaking matter factly, makes em look stupid",-0.6705,Negative
2oFtu2u-SlI,Georgia Ball,Ospray to WWE confirm!,Ospray WWE confirm!,0.0,Neutral
2oFtu2u-SlI,Anderson Contreras,00000000.01 second you are still 6 seconds behind Luke which is bananas tempest like why omfg,00000000.01 second still 6 seconds behind Luke bananas tempest like omfg,0.3612,Positive
2oFtu2u-SlI,Dead Wafflez,I have a spoiler from the future. Kairi did return at Crown Jewel.,spoiler future. Kairi return Crown Jewel.,0.3612,Positive
2oFtu2u-SlI,chris trousdale,"""YEAH!!"" 

I gotchu Tempest.","""YEAH!!"" gotchu Tempest.",0.0,Neutral
2oFtu2u-SlI,Jonathan Fitzsimmons,Bro Alex is the biggest dweeb!!!!!!!!! I can’t even 🙄,Bro Alex biggest dweeb!!!!!!!!! can’t even 🙄,0.0,Neutral
2oFtu2u-SlI,Best of Maxx gaming #pokefam,Ahhhhhh the News ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️,Ahhhhhh News ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️ ☕️,0.0,Neutral
2oFtu2u-SlI,JD_CowboysFan,The worst PLE in a long while. Nothing good on this show except Kyrie,worst PLE long while. Nothing good show except Kyrie,-0.7584,Negative
2oFtu2u-SlI,Rice Cooker,I love how these wrestlers say all offers are on the table when in reality they've already made up their mind,love wrestlers say offers table reality they've already made mind,0.6369,Positive
2oFtu2u-SlI,Stalingrad ,Iyo got her best friend back,Iyo got best friend back,0.8126,Positive
2oFtu2u-SlI,G S,"Oh yippee, they put another title on a part timer. Will WWE never learn that nobody wants wrestlers who only defend their belts a few times a year 😢

I'm so glad I recorded and then simply could fast forward through the show. There is no need to watch properly as you can predict what will happen and does happen.

We all know Roman won't lose until at least Wrestlemania, so you can expect to only see about one more title defence from him before then, given his part-timer appearances.","Oh yippee, put another title part timer. WWE never learn nobody wants wrestlers defend belts times year 😢 I'm glad recorded simply could fast forward show. need watch properly predict happen happen. know Roman lose least Wrestlemania, expect see one title defence then, given part-timer appearances.",0.1779,Positive
2oFtu2u-SlI,crashfellow82,The ‘I’m back’ on her instagram is a bit of a spoiler haha,‘I’m back’ instagram bit spoiler haha,0.4588,Positive
2oFtu2u-SlI,Kenneth Czyz,And yet another Roman win without help. His streak * and Logan Paul couldn't win without a weapon,yet another Roman win without help. streak * Logan Paul win without weapon,0.8036,Positive
2oFtu2u-SlI,KsG The Last Shot,That penta code breaker was by far the greatest code breaker ever. That Jericho one against Sammy was good and that one was my favorite but this one was better.,penta code breaker far greatest code breaker ever. Jericho one Sammy good one favorite one better.,0.9186,Positive
2oFtu2u-SlI,sergio tee,Why didn't Tempest time start @60 thievesssssssssau started @ 53 lies.    L A night baibeeeee,Tempest time start @60 thievesssssssssau started @ 53 lies. L night baibeeeee,-0.4215,Negative
ggjcd0hLpHE,WrestleTalk,"LAURIE: What are your thoughts on AEW at the moment? Let us know in the comments!
Telestrations... BUT WITH WRESTLERS! | No Holds Board 👉 https://www.youtube.com/watch?v=RxpnYsejRaM
More wrestling news on https://wrestletalk.com/
0:00 - Welcome...
0:12 - AEW Star Frustrated With Company
1:33 - Ric Flair AEW Deal Announced
3:33 - Major WWE Re-Signing ‘Imminent’
5:02 - CM Punk WWE Return Update
7:42 - Shock Crown Jewel Plans Revealed?
8:56 - Backstage Concerns Over Crown Jewel
10:09 - WWE Injury Report
- - -
Written by: Laurie Blake & Jamie Toolan
Presented by: Laurie Blake
Thumbnail by: Brandon Syres
Image Sourcing by: Brandon Syres",LAURIE: thoughts AEW moment? Let us know comments! Telestrations... WRESTLERS! | Holds Board 👉 https://www.youtube.com/watch?v=RxpnYsejRaM wrestling news https://wrestletalk.com/ 0:00 - Welcome... 0:12 - AEW Star Frustrated Company 1:33 - Ric Flair AEW Deal Announced 3:33 - Major WWE Re-Signing ‘Imminent’ 5:02 - CM Punk WWE Return Update 7:42 - Shock Crown Jewel Plans Revealed? 8:56 - Backstage Concerns Crown Jewel 10:09 - WWE Injury Report - - - Written by: Laurie Blake & Jamie Toolan Presented by: Laurie Blake Thumbnail by: Brandon Syres Image Sourcing by: Brandon Syres,-0.7117,Negative
ggjcd0hLpHE,Ronald Dunaway,"Why is WWE pushing Grayson Waller so hard? He really doesn't have any ""charisma"" so to speak. Skills wise? He hasnt done anything special in the ring to make him stand out. His ""talk show"" just sucks donkey nuts....I mean how many times can you rehash Piper's Pit? Jeez....I mean MizTV is derivative and bad...but if its the Jerry Springer to Piper's Pit Donahue...Then Then Grayson Waller Effect is like a shitty infomercial compared to Springer....ugh....","WWE pushing Grayson Waller hard? really ""charisma"" speak. Skills wise? hasnt done anything special ring make stand out. ""talk show"" sucks donkey nuts....I mean many times rehash Piper's Pit? Jeez....I mean MizTV derivative bad...but Jerry Springer Piper's Pit Donahue...Then Grayson Waller Effect like shitty infomercial compared Springer....ugh....",-0.5716,Negative
ggjcd0hLpHE,Rick Kletke,I’m thinking every wrestling YouTube channel should just make a weekly show dedicated to punk news. That way I can skip that day  rather than just skip through every video every day…,I’m thinking every wrestling YouTube channel make weekly show dedicated punk news. way skip day rather skip every video every day…,0.4588,Positive
ggjcd0hLpHE,Not Warren,Support Clickbait Talk!,Support Clickbait Talk!,0.4574,Positive
ggjcd0hLpHE,Retro Gecko,"Stable name ""The Princess and the Cold, undead fashion game of unfortunate handshakes""","Stable name ""The Princess Cold, undead fashion game unfortunate handshakes""",-0.2023,Negative
ggjcd0hLpHE,Phenom ba Stm,"Who dont love Ric absolute legend wrestling today is becoz of guys like Ric but now in his condition he should be enjoying his retirement spend time with the family, forget taking bumb even a fake pucnh will kill em in his condition and i dont wanna see that...","dont love Ric absolute legend wrestling today becoz guys like Ric condition enjoying retirement spend time family, forget taking bumb even fake pucnh kill em condition dont wanna see that...",-0.8002,Negative
ggjcd0hLpHE,Darmetrias Roberson,"If Danhausen never stepped in a wrestling ring again, no one would notice his absence.","Danhausen never stepped wrestling ring again, one would notice absence.",0.0,Neutral
ggjcd0hLpHE,Billy Magada,"Imagine wanting people to stop the drama between the companies and then you only report on dirtsheet rumors ands drama;. I get it, clicks, but you cant claim to be against a thing you're actively a part of","Imagine wanting people stop drama companies report dirtsheet rumors ands drama;. get it, clicks, cant claim thing actively part",-0.4874,Negative
ggjcd0hLpHE,"Vinnie, Cousin of Vito",If AEW goes away cause of all the negativity on internet especially by channels that like this. You asked for an alternative and this is what u wanted it for?  This is why we can’t have nice things.,AEW goes away cause negativity internet especially channels like this. asked alternative u wanted for? can’t nice things.,0.3134,Positive
ggjcd0hLpHE,Burden Ernie 1,"Tony Khan "" Got to have them all.""","Tony Khan "" Got all.""",0.0,Neutral
ggjcd0hLpHE,Rich “black0ut000”,Danhausen is upset..... Who cares,Danhausen upset..... cares,0.4588,Positive
ggjcd0hLpHE,Ken Carr,The elite say they dont need to listen to anyone they know all.well when they have to close the doors for good they can listen to eachother!,elite say dont need listen anyone know all.well close doors good listen eachother!,0.4926,Positive
ggjcd0hLpHE,Ken Carr,The elite have killed  AEW,elite killed AEW,-0.6705,Negative
ggjcd0hLpHE,Switchblade,"""Vincent Ngannou"" top notch journalism there lads","""Vincent Ngannou"" top notch journalism lads",0.2023,Positive
ggjcd0hLpHE,Ryan James,Faction name for this miscellaneous section... Corporate Catering,Faction name miscellaneous section... Corporate Catering,0.0,Neutral
ggjcd0hLpHE,Kenny Cai,"AEW's ""honeymoon"" period is definitely over now. That much, I can say with certainty.","AEW's ""honeymoon"" period definitely now. much, say certainty.",0.5719,Positive
ggjcd0hLpHE,Rabs Games,Kahn better not let him wrestle ..the man will end dying in the ring that's all AEW needs,Kahn better let wrestle ..the man end dying ring that's AEW needs,0.4404,Positive
ggjcd0hLpHE,Lord Pardus,"Maybe Danhousen will quit. He is just about the most useless piece of crap on the roster. Right next to Pockets, the Dog","Maybe Danhousen quit. useless piece crap roster. Right next Pockets, Dog",-0.6597,Negative
ggjcd0hLpHE,Alonzo M,Danhausen to WWE confirmed?🤨,Danhausen WWE confirmed?🤨,0.0,Neutral
ggjcd0hLpHE,Lethal_Efficiency,Francis Ngannou,Francis Ngannou,0.0,Neutral
ggjcd0hLpHE,AbolishedEmu,Aew has really gone down hill since the beginning of 2022,Aew really gone hill since beginning 2022,0.0,Neutral
soH26dk1TVE,WrestleTalk,"PETE: What did you think of Dynamite? Let us know in the comments!
10 Best WWE Saudi Arabia Matches | Tables, Lists & Chairs 👉 https://www.youtube.com/watch?v=NOl7khOlCZo
More wrestling news on https://wrestletalk.com/
0:00 - Welcome...
0:08 - WWE & AEW TV Rights Turmoil
2:29 - Crown Jewel Watch Party
3:47 - AEW Dynamite Review
- - -
Written by: Pete Quinnell & Oli Davis
Presented by: Pete Quinnell & Oli Davis
Thumbnail by: Brandon Syres
Image Sourcing by: Brandon Syres","PETE: think Dynamite? Let us know comments! 10 Best WWE Saudi Arabia Matches | Tables, Lists & Chairs 👉 https://www.youtube.com/watch?v=NOl7khOlCZo wrestling news https://wrestletalk.com/ 0:00 - Welcome... 0:08 - WWE & AEW TV Rights Turmoil 2:29 - Crown Jewel Watch Party 3:47 - AEW Dynamite Review - - - Written by: Pete Quinnell & Oli Davis Presented by: Pete Quinnell & Oli Davis Thumbnail by: Brandon Syres Image Sourcing by: Brandon Syres",0.8736,Positive
soH26dk1TVE,Jimmiejam87,WAY too many acronyms at the start annoyed me and I switched off tbh,WAY many acronyms start annoyed switched tbh,-0.3818,Negative
soH26dk1TVE,Ded Sec Light,"Wrestletalk really shows how biased they are towards AEW with this review. Oli teases AEW for breathing, and has done everything in his power to make people think that nothing good exists in WWE","Wrestletalk really shows biased towards AEW review. Oli teases AEW breathing, done everything power make people think nothing good exists WWE",-0.7171,Negative
soH26dk1TVE,demarco adkins,"I love how Oli did that announcement it was really entertaining, I just hope to see this heel turn from Skye Blue develop more.","love Oli announcement really entertaining, hope see heel turn Skye Blue develop more.",0.8903,Positive
soH26dk1TVE,Dead Wafflez,I love the Winnipeg bit.,love Winnipeg bit.,0.6369,Positive
soH26dk1TVE,Gutter Pop Records,Tony Khans next big announcement will be that his dad cut him off so tonight’s main event will be Sharkboy vs. Buffbagwell,Tony Khans next big announcement dad cut tonight’s main event Sharkboy vs. Buffbagwell,-0.2732,Negative
soH26dk1TVE,Gutter Pop Records,Not worried about the TV deals. The sports that are bigger draws like the NBA will sign deals first and set the market value for everyone else.,worried TV deals. sports bigger draws like NBA sign deals first set market value everyone else.,0.4019,Positive
soH26dk1TVE,Ryan Benson,How the hell is Moxley in a feud for the equivalent of the European/TV title,hell Moxley feud equivalent European/TV title,-0.7906,Negative
soH26dk1TVE,UninvitedGhost,"I thought the upcoming AEW event was in Ontario, California… not the province of Ontario in Canada?","thought upcoming AEW event Ontario, California… province Ontario Canada?",0.0,Neutral
soH26dk1TVE,Dana Summers,Show and Ibushi......BIG Golden SHOWer?,Show Ibushi......BIG Golden SHOWer?,0.0,Neutral
soH26dk1TVE,Allen Hess,The report from fightful said have not yet made a new deal not unable,report fightful said yet made new deal unable,0.0,Neutral
soH26dk1TVE,Isaac's Haunted Beard,SHAZAM! FURY OF THE GODS! 😀,SHAZAM! FURY GODS! 😀,-0.6467,Negative
soH26dk1TVE,Nuno,Ollie had a better and more balanced review than Going in Raw. They have been up their own ass lately.,Ollie better balanced review Going Raw. ass lately.,-0.1531,Negative
soH26dk1TVE,Rondo,"Lol! Spot on TK impression. I mostly ignore his ""BIG"" announcements now.","Lol! Spot TK impression. mostly ignore ""BIG"" announcements now.",0.3595,Positive
soH26dk1TVE,Spirit of Vengeance,I was waiting for the Shazam Fury of the Gods joke 🤣🤣🤣🤣,waiting Shazam Fury Gods joke 🤣🤣🤣🤣,-0.3612,Negative
soH26dk1TVE,Ben Massey,"I think it’s far less likely that TNT will lose NBA rights, as TNT’s basketball studio show with Charles Barkley, Shaq, etc. is SUPER popular in the US. That would only shift if Charles Barkley and/or Shaq decide to leave, which is possible but not probable.","think it’s far less likely TNT lose NBA rights, TNT’s basketball studio show Charles Barkley, Shaq, etc. SUPER popular US. would shift Charles Barkley and/or Shaq decide leave, possible probable.",0.7,Positive
soH26dk1TVE,Life Of The Shooter,Adam (Edge) is turning HEEL!,Adam (Edge) turning HEEL!,0.0,Neutral
soH26dk1TVE,Jose Antonio,isnt NBC Universal purchasing WBD next year?,isnt NBC Universal purchasing WBD next year?,0.0,Neutral
soH26dk1TVE,Chronic Flow,“In Winnipeg!”,“In Winnipeg!”,0.0,Neutral
soH26dk1TVE,Mikey T,"It is so sad this is what AEW has become…. This was my last show everyone I wish you all the best in your insanity watching it.  If the owner going on tv begging people to buy tickets isn’t proof of weakness, doubt, and failure….. 🤦🏼‍♂️","sad AEW become…. last show everyone wish best insanity watching it. owner going tv begging people buy tickets isn’t proof weakness, doubt, failure….. 🤦🏼‍♂️",-0.6369,Negative
soH26dk1TVE,DLP,Oli definitely under sold Edge's promo and MJFs team hunt,Oli definitely sold Edge's promo MJFs team hunt,0.4019,Positive
NOl7khOlCZo,Paul Harries,"I look forward to Becky Lnych vs Becky Lynch.

Happy birthday Pete.",look forward Becky Lnych vs Becky Lynch. Happy birthday Pete.,0.5719,Positive
NOl7khOlCZo,Noct,"I think a really interesting, challenging and fun list would be Top 10 Tag Team of All Time.","think really interesting, challenging fun list would Top 10 Tag Team Time.",0.8495,Positive
NOl7khOlCZo,demarco adkins,It’s always great seeing the difference between WWE fans matches and the fact that the three individuals had the same match with Roman reigns versus Logan Paul was really special/cool.,It’s always great seeing difference WWE fans matches fact three individuals match Roman reigns versus Logan Paul really special/cool.,0.6249,Positive
NOl7khOlCZo,kieran curtis,Only one hell in a cell at saudi? There's probably a few thousand happening right now...,one hell cell saudi? There's probably thousand happening right now...,-0.6808,Negative
NOl7khOlCZo,Diego Macias,"Wwe: you know, there is this guy...
Saudi: where is dx? What happened with the brothers of destruction?
Wwe: but this new guy is...
Saudi: is Lesnar coming? Roman is coming?
Wwe: of course, but about this new guy...
Saudi: great! Dx vs brothers of destruction, Lesnar squash match and roman reigns in the main event, here's yout money
Wwe: .... See you there boss!","Wwe: know, guy... Saudi: dx? happened brothers destruction? Wwe: new guy is... Saudi: Lesnar coming? Roman coming? Wwe: course, new guy... Saudi: great! Dx vs brothers destruction, Lesnar squash match roman reigns main event, here's yout money Wwe: .... See boss!",-0.9306,Negative
NOl7khOlCZo,Omar Da Champ,Pete made this genuinely unwatchable…. Couldn’t get past the 3 minute mark when I saw he was taking this as a joke,Pete made genuinely unwatchable…. Couldn’t get past 3 minute mark saw taking joke,0.296,Positive
NOl7khOlCZo,Marco The Sovereign,Logan Paul is not a really good wrestlers he is simply better than expected because he is athletic also his buckshot is not better than hangman’s he literally is to tall for the move so his knees buckle and he falls coward and doesn’t ever hit it clean stop,Logan Paul really good wrestlers simply better expected athletic also buckshot better hangman’s literally tall move knees buckle falls coward doesn’t ever hit clean stop,0.7574,Positive
NOl7khOlCZo,Raikkel,"Off the top of my head there's two I really like. Edge vs rollins is one of the best hell in a cell matches ever, and logan paul vs reigns is unironically sick.","top head there's two really like. Edge vs rollins one best hell cell matches ever, logan paul vs reigns unironically sick.",-0.0276,Negative
NOl7khOlCZo,TheDon42,Where did Blampeid go?,Blampeid go?,0.0,Neutral
NOl7khOlCZo,haloman5230,Tempest is a doosh in every single vid he’s in I swear.,Tempest doosh every single vid he’s swear.,-0.0516,Negative
NOl7khOlCZo,TheMikx29,Is Seth Rollins low key Mr. Saudi Arabia?,Seth Rollins low key Mr. Saudi Arabia?,-0.2732,Negative
NOl7khOlCZo,Charlie Cranmer,I want the story of the backstage heat between Chop and Temp.,want story backstage heat Chop Temp.,0.0772,Positive
NOl7khOlCZo,Chris Duncan,Lnych....,Lnych....,0.0,Neutral
NOl7khOlCZo,DR1212,"WWE.s blood money ppv 
This should not be enjoyed 
WWE needs to get out of this deal asap",WWE.s blood money ppv enjoyed WWE needs get deal asap,0.5106,Positive
NOl7khOlCZo,Obakeng Moshodi,Shane's heel authority figure run was arguably even worse than the John Laurinitis run.,Shane's heel authority figure run arguably even worse John Laurinitis run.,-0.5859,Negative
NOl7khOlCZo,Daniel E.H,Can we trust tempest's opinion when he constantly say smackdown is mid to bad  regardless of if its amazing or not simply because he hates Waller and Theory?,trust tempest's opinion constantly say smackdown mid bad regardless amazing simply hates Waller Theory?,0.1779,Positive
NOl7khOlCZo,Joey,"Of every topic in wrestling history, have we already reached this low into the options lol Next month: Best Smackdown TV matches to ever happen in November!","every topic wrestling history, already reached low options lol Next month: Best Smackdown TV matches ever happen November!",0.7644,Positive
NOl7khOlCZo,ByronGiant,What about the match where all the female talent were harassed from landing and customs to fleeing the country?,match female talent harassed landing customs fleeing country?,-0.1779,Negative
NOl7khOlCZo,David Pilaski,Can you guys show stills of the matches you’re talking about on screen to help refresh our memories of the matches?,guys show stills matches you’re talking screen help refresh memories matches?,0.4019,Positive
